"","Full Name","Total Minutes","Appearances","Total Possible Minutes","xG+xAp96","Team xGF/g","% Successful Passes","Average Passes","Team Total Successful Passes","% of Team Touches","Expected Player Contribution to Team","EPG"
"12","Josef Martinez","272",3,288,"0.8","1.21","81","21",461.7256,0.042,0.768774751885081,1.32998032076119
"19","Miguel Almiron","952",12,1152,"0.44","1.21","81.5","41.1",461.7256,0.092,0.48013274469247,0.830629648317974
"22","Yamil Asad","799",10,960,"0.39","1.21","75.1","49",461.7256,0.102,0.461434311157904,0.798281358303173
"9","Hector Villalba","917",12,1152,"0.53","1.21","66.5","23.2",461.7256,0.054,0.460070796714745,0.795922478316508
"7","Greg Garza","952",11,1056,"0.18","1.21","78.5","49.4",461.7256,0.119,0.348816214576632,0.603452051217573
"16","Leandro Gonzalez Pirez","983",12,1152,"0.08","1.21","81.9","59.9",461.7256,0.116,0.270667760706133,0.46825522602161
"18","Michael Parkhurst","1047",12,1152,"0","1.21","83.9","57.3",461.7256,0.105,0.20906517472174,0.361682752268609
"21","Tyrone Mears","949",11,1056,"0.05","1.21","80.6","40.3",461.7256,0.093,0.202325834517319,0.350023693714961
"10","Jacob Peterson","99",3,288,"0.57","1.21","87.8","13.7",461.7256,0.021,0.195916312020603,0.338935219795643
"13","Julian Gressel","787",12,1152,"0.19","1.21","70.1","26.8",461.7256,0.057,0.191410650350694,0.331140425106701
"5","Carlos Carmona","850",11,1056,"0.04","1.21","89","47.8",461.7256,0.083,0.184339168943531,0.318906762272309
"4","Brandon Vazquez","38",3,288,"1.27","1.21","75","4",461.7256,0.01,0.154730267889181,0.267683363448284
"11","Jeff Larentowicz","774",11,1056,"0.04","1.21","79","33.3",461.7256,0.067,0.126608057501939,0.219031939478355
"14","Kenwyne Jones","433",11,1056,"0.3","1.21","61.9","7.6",461.7256,0.021,0.125895931626138,0.217799961713219
"6","Chris McCann","187",8,768,"0.24","1.21","84.5","14.5",461.7256,0.028,0.0677319294180082,0.117176237893154
"15","Kevin Kratz","87",6,576,"0.22","1.21","76.5","8.5",461.7256,0.019,0.035704942549572,0.0617695506107596
"1","Alec Kann",NA,12,1152,NA,NA,"66.3","33.9",461.7256,NA,NA,NA
"2","Andrew Carleton",NA,1,96,NA,NA,"66.7","3",461.7256,NA,NA,NA
"3","Anton Walkes",NA,2,192,NA,NA,"61.9","10.5",461.7256,NA,NA,NA
"8","Harrison Heath",NA,1,96,NA,NA,"100","2",461.7256,NA,NA,NA
"17","Mark Bloom",NA,2,192,NA,NA,"72.3","32.5",461.7256,NA,NA,NA
"20","Mikey Ambrose",NA,1,96,NA,NA,"88.9","9",461.7256,NA,NA,NA
