"","Club","Payroll","Games Played","Points","Points per Game","EPG","EPG per Game","EPG % Difference"
"21","TOR",41578272.27,"15",29,1.93,23.133247189167,1.5422164792778,22.506761527995
"7","HOU",7490817.96,"15",23,1.53,18.5102839894708,1.23401893263139,21.6318250757717
"5","DAL",11674756.49,"13",23,1.77,18.9102837399199,1.45463721076307,19.5165286184145
"2","CHI",21590707.66,"14",25,1.79,22.5969353293103,1.61406680923645,10.0975605007488
"14","ORL",9293417,"15",24,1.6,23.1861821156673,1.54574547437782,3.44939068110148
"1","ATL",15327834.22,"13",18,1.38,18.8695077321891,1.45150059478378,-4.71667665597808
"8","LA",11908379.75,"13",18,1.38,19.1752836961973,1.47502182278441,-6.32293061057405
"3","CLB",10139974.34,"16",22,1.38,23.5981852648925,1.47488657905578,-7.00986346543486
"19","SJ",10307003.77,"15",19,1.27,20.8677718156647,1.39118478771098,-9.3698329783799
"12","NYC",32273819.9,"15",24,1.6,26.7949095209871,1.78632730139914,-11.0046835296845
"11","NE",9885395.58,"15",20,1.33,22.3742249015178,1.49161499343452,-11.2059862193857
"22","VAN",13141710.74,"13",19,1.46,21.460941726962,1.65084167130477,-12.1645301464751
"16","POR",17561060.58,"14",21,1.5,24.2858002658473,1.73470001898909,-14.511393180901
"20","SKC",10536399.27,"15",25,1.67,29.3415948751941,1.95610632501294,-15.978901190388
"10","MTL",9096943.48,"12",16,1.33,18.9101495982634,1.57584579985528,-16.6722264542124
"15","PHI",8302927.24,"14",16,1.14,19.4561010109455,1.38972150078182,-19.4950990797244
"13","NYRB",10990620.17,"15",20,1.33,24.6390711351597,1.64260474234398,-20.7848013732784
"18","SEA",17940528.65,"15",19,1.27,25.3300386362772,1.68866924241848,-28.5586876574344
"9","MN",9455084.11,"14",14,1,21.4995330511129,1.53568093222235,-42.2514461827705
"6","DC",8285666.71,"14",15,1.07,23.4787554077915,1.67705395769939,-44.0698006883801
"4","COL",14626031.5,"13",13,1,21.3902253486165,1.64540194989358,-48.7942446643725
"17","RSL",12727845.88,"16",14,0.88,25.9439825368248,1.62149890855155,-59.8036639226622
