"","X","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"274",13,"Kemar Lawrence","NYRB",305600,1170,13,1248,0.9375,0.09,0.652903280032843,1,1.54959682503079,2.68080250730327
"407",8,"Florian Jungwirth","SJ",966667.07,1350,15,1440,0.9375,0.09,0.462050240063391,1,1.37067210005943,2.37126273310281
"424",13,"Matt Besler","SKC",1483250,1350,15,1440,0.9375,0.03,0.536902173794055,0.871794871794871,1.32065348023962,2.28473052081454
"185",16,"Kevin Molino","MN",752508,1032,12,1152,0.895833333333333,0.41,1,0.463414634146341,1.3109756097561,2.26798780487805
"467",14,"Kendall Waston","VAN",718125,1080,12,1152,0.9375,0.07,0.462199852128265,0.934782608695652,1.30967105702242,2.26573092864879
"425",8,"Ike Opara","SKC",3e+05,1170,13,1248,0.9375,0.06,0.385534472025641,1,1.29893856752404,2.24716372181659
"386",5,"Cristian Roldan","SEA",252000,1350,15,1440,0.9375,0.08,0.56529785204953,0.818181818181818,1.29701219084189,2.24383109015647
"387",12,"Nicolas Lodeiro","SEA",3114857.14,1350,15,1440,0.9375,0.18,0.996328226463761,0.386363636363636,1.29627362140069,2.24255336502319
"426",1,"Benny Feilhaber","SKC",1200000,1083,13,1248,0.867788461538462,0.13,0.949380257965205,0.538461538461538,1.29113194353378,2.23365826231345
"427",6,"Graham Zusi","SKC",1482102.27,1215,14,1344,0.904017857142857,0.05,0.629205191029797,0.769230769230769,1.26421108014627,2.18708516865305
"444",14,"Justin Morrow","TOR",436666.67,1170,13,1248,0.9375,0.14,0.387603353357778,0.95,1.25400314377292,2.16942543872715
"251",14,"Maximiliano Moralez","NYC",4000000.08,1344,15,1440,0.933333333333333,0.14,0.817152612037321,0.523809523809524,1.25156466012372,2.16520686201404
"252",18,"Rodney Wallace","NYC",440000.16,1082,13,1248,0.86698717948718,0.47,0.797713684233773,0.642857142857143,1.24895643823107,2.16069463813974
"160",24,"Romain Alessandrini","LA",3668801.28,1157,13,1248,0.927083333333333,0.23,0.832827717155212,0.509803921568628,1.24473141506689,2.15338534806572
"208",14,"Ignacio Piatti","MTL",9e+05,888,10,960,0.925,0.33,1,0.333333333333333,1.23333333333333,2.13366666666667
"388",6,"Gustav Svensson","MN",340000.08,1282,15,1440,0.890277777777778,0.06,0.378500198066919,1,1.22724809300124,2.12313920089215
"389",15,"Osvaldo Alonso","SEA",2241667,1247,14,1344,0.927827380952381,0.07,0.425691467930114,0.886363636363636,1.21736065108207,2.10603392637199
"45",12,"Justin Meram","CLB",628750,1300,16,1536,0.846354166666667,0.38,1,0.428571428571428,1.20907738095238,2.09170386904762
"294",22,"Will Johnson","ORL",864000,1241,14,1344,0.923363095238095,0.06,0.541750462064885,0.765957446808511,1.20748922240468,2.08895635476009
"253",13,"Maxime Chanot","NYC",733000,1260,14,1344,0.9375,0.07,0.308886081526526,0.976190476190476,1.20475927285969,2.08423354204726
"254",1,"Alexander Callens","NYC",360000,1350,15,1440,0.9375,0.04,0.282875578244014,1,1.20269585460376,2.08066382846451
"65",13,"Kortne Ford","COL",146992,533,6,576,0.925347222222222,0.07,0.299177468492702,1,1.20219026164342,2.07978915264312
"390",3,"Chad Marshall","SEA",716250,900,10,960,0.9375,0.06,0.281997941586801,1,1.20187307023763,2.07924041151109
"408",2,"Chris Wondolowski","SJ",1600000,1331,15,1440,0.924305555555556,0.27,1,0.285714285714286,1.18839285714286,2.05591964285714
"295",21,"Victor Pagliari Giro","ORL",NA,270,3,288,0.9375,0.02,0.285582051367675,0.978723404255319,1.18528636464656,2.05054541083854
"209",2,"Ambroise Oyongo","MTL",NA,990,11,1056,0.9375,0.04,0.442479040978258,0.82051282051282,1.18405487014789,2.04841492535584
"1",16,"Leandro Gonzalez Pirez","ATL",535016,1119,13,1248,0.896634615384615,0.06,0.295657689285204,1,1.16173153390236,2.00979555365108
"428",4,"Dominic Dwyer","SKC",NA,1018,12,1152,0.883680555555556,0.49,1,0.307692307692308,1.15558226495726,1.99915731837607
