"","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"16","Leandro Gonzalez Pirez","ATL",535016,"1299",15,1440,0.902083333333333,"0.06",0.303791989980161,1,1.1761290242946,2.03470321202966
"22","Yamil Asad","ATL",3e+05,"1136",13,1248,0.91025641025641,"0.11",0.680308058857752,0.431818181818182,1.01232003958963,1.75131366849006
"7","Greg Garza","ATL",3e+05,"1260",14,1344,0.9375,"0.02",0.378968029767486,0.659090909090909,0.973180255179745,1.68360184146096
"18","Michael Parkhurst","ATL",650016,"1338",15,1440,0.929166666666667,"0",0.185313077136744,0.840909090909091,0.953531431142588,1.64960937587668
"19","Miguel Almiron","ATL",4209500,"1191",15,1440,0.827083333333333,"0.26",0.841505490845291,0.227272727272727,0.883968651235111,1.52926576663674
"21","Tyrone Mears","ATL",367512,"1260",14,1344,0.9375,"0",0.211882561806438,0.636363636363636,0.795230810784445,1.37574930265709
"9","Hector Villalba","ATL",1433750,"1225",15,1440,0.850694444444444,"0.33",0.699717221645642,0.159090909090909,0.730583305661302,1.26390911879405
"11","Jeff Larentowicz","ATL",350016,"1039",14,1344,0.773065476190476,"0.03",0.166166540465705,0.704545454545454,0.673117383048061,1.16449307267315
"5","Carlos Carmona","ATL",1400000,"1168",14,1344,0.869047619047619,"0.03",0.237190489737734,0.5,0.640653639891126,1.10833079701165
"13","Julian Gressel","ATL",168750,"1086",15,1440,0.754166666666667,"0.09",0.520843129374722,0.272727272727273,0.598484344918588,1.03537791670916
"17","Mark Bloom",NA,205798.89,"163",2,192,0.848958333333333,NA,0.0421141910003879,0.613636363636364,0.556704897946826,0.963099473448008
"12","Josef Martinez","ATL",1965310,"315",5,480,0.65625,"0.72",0.790191095077432,0.0454545454545454,0.54839245159911,0.948718941266461
"10","Jacob Peterson","ATL",330600,"92",3,288,0.319444444444444,"0.57",0.517286760257718,0,0.165244381748993,0.285872780425758
"14","Kenwyne Jones","ATL",803333.33,"417",12,1152,0.361979166666667,"0.24",0.31658048538668,0.0909090909090909,0.147502737252896,0.255179735447511
"1","Alec Kann",NA,154008,"1350",15,1440,0.9375,NA,0.0408429781365595,0.0909090909090909,0.123517564730297,0.213685386983414
"4","Brandon Vazquez","ATL",220016,"42",4,384,0.109375,"1.05",1,0,0.109375,0.18921875
"15","Kevin Kratz","ATL",314250,"155",8,768,0.201822916666667,"0.07",0.251812355722534,0.136363636363636,0.0783428109028077,0.135533062861857
"3","Anton Walkes",NA,106008,"66",3,288,0.229166666666667,NA,0.00779673305093354,0.272727272727273,0.0642867513241723,0.111216079790818
"6","Chris McCann","ATL",1108000,"174",9,864,0.201388888888889,"0.05",0.222442802533902,0.0454545454545454,0.0539515492476734,0.093336180198475
"20","Mikey Ambrose",NA,131250,"17",1,96,0.177083333333333,NA,0.0117561232791407,0.0454545454545454,0.0101310559215903,0.0175267267443511
"8","Harrison Heath",NA,132300,"1",1,96,0.0104166666666667,NA,0,0.136363636363636,0.00142045454545455,0.00245738636363636
"2","Andrew Carleton",NA,142400,"4",1,96,0.0416666666666667,NA,1.95902737529447e-06,0,8.16261406372695e-08,1.41213223302476e-07
