"","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"8","Dax McCarty","CHI",9e+05,"1235",13,1248,0.989583333333333,"0.06",0.462739860567592,0.714285714285714,1.16476489178192,2.01504326278272
"12","Johan Kappelhof","CHI",1100000,"1055",12,1152,0.915798611111111,"0.01",0.241636517365965,1,1.13708899810859,1.96716396672786
"11","Joao Meira","CHI",315000,"1235",13,1248,0.989583333333333,"0.01",0.166698356438504,0.928571428571428,1.08386072474941,1.87507905381648
"3","Brandon Vincent","CHI",214375,"1235",13,1248,0.989583333333333,"0.02",0.283020502832329,0.761904761904762,1.03404062656275,1.78889028395355
"22","Nemanja Nikolic","CHI",3606333.41,"1159",13,1248,0.928685897435897,"0.6",1,0.0952380952380952,1.01713217338217,1.75963865995116
"13","John Goossens","CHI",463333.33,"95",1,96,0.989583333333333,"0.07",0.312717919634615,0.714285714285714,1.01630567940033,1.75820882536256
"20","Michael Harrington","CHI",270000,"743",8,768,0.967447916666667,"0",0.183518642626065,0.785714285714286,0.937682377287604,1.62219051270756
"2","Bastian Schweinsteiger","CHI",10800000,"923",10,960,0.961458333333333,"0.09",0.418038755179731,0.547619047619048,0.928439741649242,1.60620075305319
"6","David Accam","CHI",1570937.5,"976",13,1248,0.782051282051282,"0.31",0.868001388083676,0.261904761904762,0.883644553196086,1.52870507702923
"19","Matt Polster","CHI",214800,"306",4,384,0.796875,"0",0.218796650597526,0.785714285714286,0.800469652373475,1.38481249860611
"17","Luis Solignac","CHI",603312.34,"806",12,1152,0.699652777777778,"0.22",0.548398590890986,0.333333333333333,0.61690619003889,1.06724770876728
"21","Michael de Leeuw","CHI",NA,"797",12,1152,0.691840277777778,"0.19",0.42150276680292,0.30952380952381,0.505753629628823,0.874953779257863
"14","Jonathan Campbell","CHI",211625,"323",8,768,0.420572916666667,"0",0.0860160368062781,0.428571428571429,0.216421551194009,0.374409283565636
"1","Arturo Alvarez","CHI",277500,"259",8,768,0.337239583333333,"0.04",0.253375609493777,0.238095238095238,0.1657434238614,0.286736123280221
"10","Drew Conner","CHI",131250,"235",7,672,0.349702380952381,"0.01",0.106930737619407,0.19047619047619,0.104003910866764,0.179926765799502
"5","Daniel Johnson","CHI",130008,"116",6,576,0.201388888888889,"0.14",0.122511912412631,0.0476190476190476,0.0342624850063796,0.0592740990610367
"9","Djordje Mihailovic","CHI",160000.08,"18",2,192,0.09375,"0.18",0.135085437089984,0.0714285714285714,0.0193606882986146,0.0334939907566033
"4","Brandt Bronico",NA,130008,NA,2,192,NA,NA,0.00262978696728078,0.142857142857143,NA,NA
"7","David Arshakyan",NA,334850,NA,2,192,NA,NA,0,0,NA,NA
"15","Jorge Bava",NA,NA,NA,8,768,NA,NA,0.0250355368295879,0.19047619047619,NA,NA
"16","Juninho 28, ",NA,NA,NA,9,864,NA,NA,0.0646030816413348,0.571428571428572,NA,NA
"18","Matt Lampson",NA,157375,NA,5,480,NA,NA,0.0307115595111202,0.0238095238095238,NA,NA
