"","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"12","Justin Meram","CLB",628750,"1390",17,1632,0.85171568627451,"0.38",1,0.444444444444444,1.2302559912854,2.12834286492375
"15","Nicolai Naess","CLB",477500,"1249",14,1344,0.929315476190476,"0.02",0.125550459570958,1,1.04599146131259,1.80956522807079
"9","Jonathan Mensah","CLB",1594000,"977",12,1152,0.848090277777778,"0.06",0.147279856455168,0.944444444444444,0.925880765606702,1.60177372449959
"19","Wil Trapp","CLB",650000,"1505",17,1632,0.92218137254902,"0.01",0.27637738654841,0.722222222222222,0.920889957843016,1.59313962706842
"18","Waylon Francis","CLB",479375,"557",7,672,0.828869047619048,"0.1",0.217807255514975,0.861111111111111,0.894282039004062,1.54710792747703
"7","Harrison Afful","CLB",576666.67,"967",12,1152,0.839409722222222,"0.05",0.268129916883218,0.722222222222222,0.831311213988681,1.43816840020042
"6","Federico Higuain","CLB",2100000,"1368",16,1536,0.890625,"0.27",0.791820070492332,0.111111111111111,0.804173083615567,1.39121943465493
"17","Ola Kamara","CLB",932500,"1371",17,1632,0.840073529411765,"0.52",0.795852416487976,0.138888888888889,0.785251427494903,1.35848496956618
"8","Hector Jimenez","CLB",3e+05,"422",6,576,0.732638888888889,"0.01",0.193973095872822,0.861111111111111,0.772995721088923,1.33728259748384
"11","Jukka Raitala","CLB",286674.67,"1004",13,1248,0.80448717948718,"0.02",0.180458642155162,0.611111111111111,0.636807718172547,1.10167735243851
"4","Connor Maloney","CLB",106008,"45",1,96,0.46875,"0",0.747192216065631,0.416666666666667,0.545558851280764,0.943816812715722
"10","Josh Williams","CLB",220008,"569",8,768,0.740885416666667,"0",0.0785555532233699,0.638888888888889,0.531544124429525,0.919571335263078
"2","Alex Crognale","CLB",169992,"628",11,1056,0.59469696969697,"0.07",0.136455771868728,0.722222222222222,0.51065320103136,0.883430037784253
"3","Artur",NA,NA,"831",13,1248,0.665865384615385,NA,0,0.666666666666667,0.443910256410256,0.767964743589744
"5","Ethan Finlay","CLB",580000,"939",14,1344,0.698660714285714,"0.13",0.258028661538803,0.25,0.354939667548316,0.614045624858586
"14","Mohammed Abu","CLB",336250,"614",11,1056,0.581439393939394,"0.02",0.124530934995316,0.333333333333333,0.266220322683514,0.460561158242479
"13","Kekuta Manneh","CLB",307250,"240",5,480,0.5,"0.09",0.0514137837412537,0.277777777777778,0.164595780759516,0.284750700713962
"16","Niko Hansen","CLB",NA,"396",13,1248,0.317307692307692,"0.21",0.411603709889621,0,0.13060502333036,0.225946690361523
"20","Zack Steffen","CLB",210000,"1530",17,1632,0.9375,"0",0.0221555239822111,0,0.0207708037333229,0.0359334904586486
"1","Adam Jahn","CLB",185000,"231",12,1152,0.200520833333333,"0.11",0.0365340956229753,0.0277777777777777,0.0128958704475468,0.022309855874256
