"","Full Name","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"20","Sam Cronin",606250,"1017",3,288,3.53125,"0.02",0.182976504152735,0.75,3.29457328028934,5.69961177490057
"14","Marc Burch",270000,"1048",3,288,3.63888888888889,"0",0.214125188671569,0.35,2.05278888099932,3.55132476412883
"13","Kortne Ford",146992,"464",5,480,0.966666666666667,"0.07",0.228897842958799,1,1.18793458152684,2.05512682604143
"10","Jared Watts",150000,"843",9,864,0.975694444444444,"0",0.201311404216883,0.825,1.00136633536439,1.73236376018039
"17","Micheal Azira",NA,"1137",12,1152,0.986979166666667,"0.01",0.154036389594177,0.85,0.99096299910467,1.71436598845108
"2","Axel Sjoberg",231700,"284",3,288,0.986111111111111,"0.04",0.119635983244036,0.875,0.980821594587869,1.69682135863701
"9","Eric Miller",162107.5,"991",11,1056,0.93844696969697,"0",0.131245173790552,0.825,0.897385385631095,1.5524767171418
"19","Mohammed Saeid",330000,"871",8,768,1.13411458333333,"0.06",0.409552370062228,0.375,0.889772284276303,1.539306051798
"12","Kevin Doyle",2045000,"865",11,1056,0.819128787878788,"0.31",0.880089688352466,0.2,0.884732557220534,1.53058732399152
"22","Shkelzen Gashi",3243750,"542",8,768,0.705729166666667,"0.28",1,0.225,0.864518229166667,1.49561653645833
"8","Dominique Badji",130000,"857",12,1152,0.743923611111111,"0.29",0.860109202308392,0.25,0.825836446508934,1.42869705246046
"16","Mekeil Williams",225000,"575",7,672,0.855654761904762,"0",0.197278634574757,0.65,0.724977998334055,1.25421193711792
"15","Marlon Hairston",220008,"904",12,1152,0.784722222222222,"0.05",0.374069124803275,0.525,0.705519521547014,1.22054877227633
"6","Dillon Powers",620000,"816",11,1056,0.772727272727273,"0.01",0.15139695733902,0.55,0.541988557943788,0.937640205242753
"4","Bobby Burling",246000,"682",9,864,0.789351851851852,"0.02",0.0273537119315409,0.65,0.534670406871888,0.924979803888366
"1","Alan Gordon",360000,"341",7,672,0.507440476190476,"0.17",0.401150566179184,0.05,0.228932058135568,0.396052460574533
"5","Caleb Calvert",207500,"204",5,480,0.425,"0.09",0.161304877429948,0.125,0.121679572907728,0.210505661130369
"24","Zac MacMath",3e+05,"380",4,384,0.989583333333333,"0",0.00318826940937664,0.1,0.102113391603029,0.17665616747324
"7","Dillon Serna",158200,"132",6,576,0.229166666666667,"0.15",0.413254420873241,0.025,0.100433304783451,0.17374961727537
"3","Bismark Boateng",NA,"118",3,288,0.409722222222222,"0",0,0.2,0.0819444444444445,0.141763888888889
"11","Joshua Gatt",368516,"142",4,384,0.369791666666667,"0.09",0.0972095358310614,0.075,0.0636816512708613,0.11016925669859
"18","Mike da Fonte",NA,NA,2,192,NA,NA,NA,0.6,NA,NA
"21","Sam Hamilton",130008,NA,2,192,NA,NA,NA,0.2,NA,NA
"23","Tim Howard",4475000,NA,8,768,NA,NA,NA,0,NA,NA
