"","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"13","Matt Hedges","DAL",824992,"1165",13,1248,0.93349358974359,"0.03",0.192282412379926,1,1.11298798912068,1.92546922117878
"15","Maximiliano Urruti","DAL",6e+05,"1150",13,1248,0.921474358974359,"0.38",0.796267450037326,0.404255319148936,1.10625094917003,1.91381414206416
"16","Maynor Figueroa","DAL",663333.33,"1080",12,1152,0.9375,"0.06",0.279462054469865,0.893617021276596,1.09976163351231,1.90258762597629
"24","Walker Zimmerman","DAL",410000,"834",10,960,0.86875,"0.03",0.235888424840896,1,1.07367806908053,1.85746305950931
"7","Hernan Grana","DAL",425500.08,"1073",12,1152,0.931423611111111,"0.01",0.313243092340352,0.680851063829787,0.925922768724444,1.60184638989329
"1","Aaron Guillen","DAL",108150,"348",4,384,0.90625,"0.03",0.148321632683864,0.787234042553192,0.847847330683582,1.4667758820826
"12","Kellyn Acosta","DAL",540000,"1014",12,1152,0.880208333333333,"0.18",0.532722576799885,0.425531914893617,0.843463589042718,1.4591920090439
"4","Carlos Gruezo","DAL",1226500,"1305",15,1440,0.90625,"0.03",0.227054452598763,0.659574468085106,0.803507459369757,1.39006790470968
"19","Roland Lamah","DAL",1403500,"1011",15,1440,0.702083333333333,"0.34",0.610813050327598,0.25531914893617,0.608096981566437,1.05200777810994
"23","Walker Hume",NA,106008,"180",2,192,0.9375,NA,0.0505866866967287,0.595744680851064,0.605935657076055,1.04826868674158
"17","Michael Barrios","DAL",2e+05,"967",15,1440,0.671527777777778,"0.17",0.596002315664319,0.191489361702128,0.528822536120385,0.914862987488266
"21","Tesho Akindele","DAL",207500,"885",15,1440,0.614583333333333,"0.21",0.389248274478548,0.276595744680851,0.409216636775047,0.707944781620832
"2","Atiba Harris","DAL",310008,"745",14,1344,0.554315476190476,"0.03",0.093559511318167,0.638297872340426,0.405679874126229,0.701826182238376
"9","Javier Morales","DAL",615000,"325",6,576,0.564236111111111,"0.18",0.32537288375143,0.234042553191489,0.315642390636196,0.546061335800619
"18","Paxton Pomykal","DAL",145000,"140",2,192,0.729166666666667,"0.07",0.177929267838299,0.234042553191489,0.300396119500888,0.519685286736536
"22","Victor Ulloa","DAL",302500,"396",8,768,0.515625,"0.06",0.238661062063824,0.234042553191489,0.243737801616021,0.421666396795716
"8","Jacori Hayes",NA,137500.08,"46",1,96,0.479166666666667,NA,0,0.48936170212766,0.234485815602837,0.405660460992908
"3","Carlos Cermeno","DAL",243000,"187",4,384,0.486979166666667,"0.04",0.0937723679756986,0.382978723404255,0.232167849187634,0.401650379094606
"6","Cristian Colman","DAL",685000,"530",12,1152,0.460069444444444,"0.32",0.380177563782887,0.0851063829787234,0.214062926895532,0.370328863529271
"11","Jesus Ferreira","DAL",106000,"19",1,96,0.197916666666667,"1.39",1,0,0.197916666666667,0.342395833333333
"10","Jesse Gonzalez",NA,179375,"1080",12,1152,0.9375,NA,0.00811828576852479,0.191489361702128,0.187132169503737,0.323738653241464
"5","Chris Seitz",NA,306000,"270",3,288,0.9375,NA,0.00825944017333467,0.106382978723404,0.107477267715693,0.185935673148148
"14","Mauro Diaz","DAL",1664890,"86",4,384,0.223958333333333,"0.07",0.212384074272084,0,0.0475651833005188,0.0822877671098975
"20","Ryan Hollingshead","DAL",265000,"20",5,480,0.0416666666666667,"0.09",0.0645891232617529,0.0851063829787234,0.00623731276001984,0.0107905510748343
