"","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"3","Bobby Boswell","DC",520000,"761",8,768,0.990885416666667,"0.06",0.206805775109466,1,1.19580624330508,2.06874480091779
"23","Taylor Kemp","DC",240000,"1044",12,1152,0.90625,"0.01",0.243238574300401,0.976190476190476,1.10510757700736,1.91183610822273
"12","Lloyd Sam","DC",490000,"923",12,1152,0.801215277777778,"0.09",0.766983650236781,0.523809523809524,1.03420321149717,1.7891715558901
"22","Steve Birnbaum","DC",NA,"850",10,960,0.885416666666667,"0.09",0.284713116015645,0.880952380952381,1.03209965877377,1.78553240967863
"16","Nick DeLeon","DC",510000,"518",6,576,0.899305555555556,"0.05",0.291306827485944,0.833333333333333,1.01139514462567,1.74971360020241
"20","Sean Franklin","DC",542512,"714",9,864,0.826388888888889,"0.02",0.328607606647037,0.857142857142857,0.979891008270815,1.69521144430851
"13","Luciano Acosta","DC",1102000,"667",10,960,0.694791666666667,"0.24",1,0.404761904761905,0.976016865079365,1.6885091765873
"7","Jared Jeffrey","DC",220000,"868",12,1152,0.753472222222222,"0.03",0.280013338737894,0.952380952380952,0.928574865183297,1.6064345167671
"18","Patrick Nyarko","DC",485750,"435",6,576,0.755208333333333,"0.15",0.393567267785219,0.714285714285714,0.836659804168153,1.4474214612109
"6","Ian Harkes","DC",213237.5,"957",11,1056,0.90625,"0.09",0.297385004738702,0.619047619047619,0.830517065306353,1.43679452297999
"10","Kofi Opare","DC",225000,"438",7,672,0.651785714285714,"0.12",0.243691998865095,0.952380952380952,0.779583262865727,1.34867904475771
"14","Marcelo Sarvas","DC",785000,"640",11,1056,0.606060606060606,"0.13",0.300779864902042,0.809523809523809,0.672911317833849,1.16413657985256
"11","Lamar Neagle","DC",402833.33,"701",13,1248,0.561698717948718,"0.2",0.40230952803594,0.476190476190476,0.493452326091921,0.853672524139024
"17","Patrick Mullins","DC",258250,"416",8,768,0.541666666666667,"0.39",0.475643236530296,0.238095238095238,0.386608340422164,0.668832428930344
"21","Sebastien Le Toux","DC",265008,"516",10,960,0.5375,"0.13",0.463351930468463,0.214285714285714,0.36423023405537,0.630118304915791
"8","Jose Guillermo Ortiz","DC",267617,"439",10,960,0.457291666666667,"0.21",0.370559272543524,0.119047619047619,0.2238931514672,0.387335152038255
"9","Julian Buescher","DC",174700,"61",2,192,0.317708333333333,"0.1",0.268663661880058,0.30952380952381,0.183694977893937,0.317792311756511
"19","Rob Vincent","DC",131266.8,"70",2,192,0.364583333333333,"0.03",0.104584493021927,0.380952380952381,0.1770186519698,0.306242267907753
"1","Alhaji Kamara",NA,168250,NA,1,96,NA,NA,0,0,NA,NA
"2","Bill Hamid",NA,745500,NA,12,1152,NA,NA,0.020383243214756,0.166666666666667,NA,NA
"4","Chris Korb",NA,NA,NA,3,288,NA,NA,0.0344695112192152,0.738095238095238,NA,NA
"5","Chris Odoi-Atsem",NA,137500.08,NA,3,288,NA,NA,0.0108722394243437,0.30952380952381,NA,NA
"15","Maxim Tissot",NA,130000,NA,1,96,NA,NA,0.0630277306577474,0.666666666666667,NA,NA
"24","Travis Worra",NA,131250,NA,1,96,NA,NA,0.0252080672950235,0.166666666666667,NA,NA
