"","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"2","Adolfo Machado","HOU",416508,"1350",15,1440,0.9375,"0.04",0.149725705989207,1,1.07786784936488,1.86471137940125
"10","Erick Torres","HOU",1315000,"1081",14,1344,0.804315476190476,"0.71",1,0.130434782608696,0.90922619047619,1.57296130952381
"8","Dylan Remick","HOU",132300,"513",6,576,0.890625,"0.02",0.242169323954361,0.695652173913043,0.835247271538157,1.44497777976101
"16","Leonardo",NA,NA,"1068",12,1152,0.927083333333333,NA,0.035929504422582,0.847826086956522,0.819315079507711,1.41741508754834
"14","Juan Cabezas","HOU",NA,"920",11,1056,0.871212121212121,"0.04",0.186849967103739,0.739130434782609,0.806725350128257,1.39563485572189
"1","A.J. DeLaGarza","HOU",NA,"1080",12,1152,0.9375,"0.01",0.189853654605103,0.608695652173913,0.748639975105327,1.29514715693222
"7","DaMarcus Beasley","HOU",667016,"913",11,1056,0.864583333333333,"0",0.164413797047242,0.478260869565217,0.555645805508689,0.961267243530032
"20","Romell Quioto","HOU",412508,"572",10,960,0.595833333333333,"0.32",0.681647126538704,0.217391304347826,0.535677065069891,0.926721322570911
"11","Jalil Anibaba","HOU",220008,"282",4,384,0.734375,"0.01",0.111087537339229,0.608695652173913,0.528590779798713,0.914462049051774
"19","Ricardo Clark","HOU",707820,"980",13,1248,0.78525641025641,"0.03",0.134944592522749,0.521739130434782,0.515665102963446,0.892100628126761
"3","Alberth Elis","HOU",846000,"836",13,1248,0.669871794871795,"0.48",0.745217606558108,0.0217391304347826,0.513762685998442,0.888809446777305
"17","Mauro Manotas","HOU",431492.16,"827",14,1344,0.615327380952381,"0.5",0.643778482071292,0.130434782608696,0.47639462045413,0.824162693385644
"9","Eric Alexander","HOU",393750,"608",8,768,0.791666666666667,"0.01",0.237306316568748,0.304347826086956,0.428809529602433,0.741840486212209
"15","Kevin Garcia","HOU",131266.8,"121",2,192,0.630208333333333,"0",0.206964885768196,0.326086956521739,0.335933713109803,0.581165323679959
"6","Boniek Garcia","HOU",472500,"551",11,1056,0.521780303030303,"0.04",0.334909088173812,0.282608695652174,0.322208616371324,0.55742090632239
"4","Alex",NA,NA,"1226",15,1440,0.851388888888889,NA,0.0395460317601726,0.260869565217391,0.25577050131562,0.442482967276023
"5","Andrew Wenger","HOU",420000,"344",11,1056,0.325757575757576,"0.15",0.216897191456463,0.173913043478261,0.127309394713584,0.220245252854501
"12","Joe Willis",NA,212625,"630",7,672,0.9375,NA,0.000951496133056425,0.0869565217391304,0.0824137667551752,0.142575816486453
"21","Tyler Deric",NA,370000,"720",8,768,0.9375,NA,0.0020671885014633,0.0652173913043478,0.0630792935679479,0.10912717787255
"22","Vicente Sanchez","HOU",130008,"179",9,864,0.207175925925926,"0.15",0.169706196635322,0,0.0351590384232901,0.0608251364722919
"18","Memo Rodriguez","HOU",106008,"40",3,288,0.138888888888889,"0.06",0.110530260794425,0.0434782608695652,0.0213900724533319,0.0370048253442642
"13","Joseph Holland",NA,106008,"12",1,96,0.125,NA,0,0.0434782608695652,0.00543478260869565,0.00940217391304348
