"","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"23","Romain Alessandrini","LA",3668801.28,"1067",12,1152,0.926215277777778,"0.25",0.815501002137202,0.5,1.21843712611145,2.10789622817281
"5","Bradley Diallo","LA",130008,"506",6,576,0.878472222222222,"0.04",0.187750311231564,1,1.04340565535273,1.80509178376022
"8","Daniel Steres","LA",217062.6,"1033",12,1152,0.896701388888889,"0.15",0.274167066529575,0.826923076923077,0.987349060925859,1.70811387540174
"2","Ashley Cole","LA",727625,"795",9,864,0.920138888888889,"0",0.190035858326332,0.788461538461538,0.900353507461062,1.55761156790764
"16","Jelle Van Damme","LA",1262500,"877",11,1056,0.830492424242424,"0.03",0.17016591010412,0.903846153846154,0.891958882655673,1.54308886699431
"17","Jermaine Jones","LA",1322500.2,"673",8,768,0.876302083333333,"0.19",0.41338662470566,0.538461538461538,0.834106528400422,1.44300429413273
"11","Giovani dos Santos","LA",NA,"943",11,1056,0.892992424242424,"0.46",0.747711093103594,0.173076923076923,0.822256722782412,1.42250413041357
"18","Joao Pedro","LA",261000,"1047",12,1152,0.908854166666667,"0.04",0.188227868731043,0.634615384615385,0.747844519317456,1.2937710184192
"24","Sebastian Lletget","LA",472666.67,"270",3,288,0.9375,"0.02",0.199320751725388,0.596153846153846,0.745757435511782,1.29016036343538
"20","Nathan Smith","LA",106008,"464",6,576,0.805555555555556,"0",0.15311947457301,0.596153846153846,0.603581286141078,1.04419562502407
"10","Emmanuel Boateng","LA",230000,"767",12,1152,0.665798611111111,"0.16",0.371109826021703,0.461538461538461,0.554376073401602,0.959070606984772
"21","Rafael Garcia",NA,165000,"391",6,576,0.678819444444444,NA,0.0344773789935343,0.653846153846154,0.467247398160274,0.808337998817275
"9","Dave Romney","LA",NA,"405",8,768,0.52734375,"0.14",0.304359161128223,0.480769230769231,0.414032550414673,0.716276312217384
"12","Gyasi Zardes","LA",1155000,"641",8,768,0.834635416666667,"0.14",0.256789084962902,0.211538461538462,0.390882756910644,0.676227169455413
"7","Clement Diop",NA,131250,"450",5,480,0.9375,NA,0.0287037079001246,0.25,0.261284726156367,0.452022576250515
"3","Baggio Husidic","LA",350000,"394",8,768,0.513020833333333,"0.02",0.0890438260309772,0.346153846153846,0.223265472448985,0.386249267336744
"6","Brian Rowe",NA,240000,"630",7,672,0.9375,NA,0.0245362057996754,0.115384615384615,0.131175769860273,0.226934081858272
"13","Jack McBean","LA",131250,"276",8,768,0.359375,"0.06",0.0886405904030976,0.115384615384615,0.0733215583299594,0.12684629591083
"19","Jose Villarreal","LA",210000,"83",4,384,0.216145833333333,"0.1",0.0739495171453832,0.134615384615385,0.045080434495166,0.0779891516766371
"4","Bradford Jamieson","LA",132300,"53",4,384,0.138020833333333,"0.26",0.188923005612415,0.134615384615385,0.044655038234566,0.0772532161457992
"1","Ariel Lassiter","LA",108150,"4",1,96,0.0416666666666667,"1.79",1,0,0.0416666666666667,0.0720833333333333
"22","Raul Mendiola",NA,131250,"14",1,96,0.145833333333333,NA,0.000745152945155267,0.153846153846154,0.0225445655737326,0.0390020984425574
"14","Jack McInerney",NA,650000,"38",2,192,0.197916666666667,NA,0.00744260546418553,0.0769230769230769,0.0166973746391457,0.028886458125722
"15","Jaime Villarreal",NA,106008,"6",2,192,0.03125,NA,0,0,0,0
