"","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"16","Kevin Molino","MN",752508,"1032",12,1152,0.895833333333333,"0.41",1,0.463414634146341,1.3109756097561,2.26798780487805
"8","Francisco Calvo","MN",630843.63,"1080",12,1152,0.9375,"0.08",0.186786259986425,1,1.11261211873727,1.92481896541548
"23","Vadim Demidov","MN",1105016,"270",3,288,0.9375,"0.05",0.255919362882575,0.902439024390244,1.08596098806827,1.8787125093581
"12","Jerome Thiesson","MN",381166.67,"1155",13,1248,0.925480769230769,"0.01",0.294794730807304,0.829268292682927,1.0402987116436,1.79971677114343
"4","Brent Kallman","MN",133299.67,"1056",12,1152,0.916666666666667,"0.08",0.237152202780135,0.707317073170732,0.865763502954961,1.49777086011208
"17","Kevin Venegas","MN",173333.33,"90",1,96,0.9375,"0",0.25874832454342,0.658536585365853,0.859954603039944,1.4877214632591
"18","Marc Burch","MN",270000,"783",9,864,0.90625,"0",0.242260894190996,0.682926829268293,0.838451374384981,1.45052087768602
"5","Christian Ramirez","MN",742508.4,"1172",14,1344,0.87202380952381,"0.51",0.878397225839676,0.048780487804878,0.8085210419579,1.39874140258717
"22","Sam Cronin","MN",606250,"707",8,768,0.920572916666667,"0.02",0.253421495018328,0.463414634146341,0.659899926197163,1.14162687232109
"9","Ibson",NA,NA,"890",11,1056,0.84280303030303,NA,0.0815982411999936,0.634146341463415,0.603231703191698,1.04359084652164
"20","Mohammed Saeid","COL",330000,"243",3,288,0.84375,"0.05",0.393273403661785,0.292682926829268,0.578775653851826,1.00128188116366
"13","Johan Venegas","MN",442500,"825",12,1152,0.716145833333333,"0.24",0.686693881683781,0.0975609756097561,0.561640848322195,0.971638667597397
"6","Collen Warner","MN",460008,"728",11,1056,0.689393939393939,"0.02",0.17486143876916,0.560975609756098,0.507281601634837,0.877597170828268
"15","Justin Davis","MN",169750,"283",5,480,0.589583333333333,"0",0.165382886542165,0.560975609756098,0.428248863442517,0.740870533755555
"11","Jermaine Taylor","MN",260008,"359",7,672,0.53422619047619,"0.03",0.140554101395057,0.634146341463415,0.413865266348499,0.715986910782903
"19","Miguel Ibarra","MN",612330,"714",12,1152,0.619791666666667,"0.11",0.447331957537526,0.0975609756097561,0.337720099190242,0.584255771599119
"21","Rasmus Schuller","MN",425008,"314",6,576,0.545138888888889,"0.03",0.150392424520065,0.390243902439024,0.294721886571448,0.509868863768605
"1","Abu Danladi","MN",301000.08,"331",10,960,0.344791666666667,"0.25",0.346432598222916,0.073170731707317,0.144675731465528,0.250289015435364
"2","Bashkim Kadrii","MN",552100,"360",8,768,0.46875,"0.14",0.170454281104778,0.048780487804878,0.102766297926401,0.177785695412674
"7","Collin Martin","MN",169992,"38",2,192,0.197916666666667,"0.31",0.262968122599698,0.0975609756097561,0.0713547173539544,0.123443661022341
"3","Bobby Shuttleworth","MN",326875,"1040",13,1248,0.833333333333333,"0.01",0.062073307281628,0,0.0517277560680233,0.0894890179976803
"10","Ismaila Jome","MN",132841.33,"158",5,480,0.329166666666667,"0",0.0755749545249389,0.024390243902439,0.0329052111490119,0.0569260152877905
"14","John Alvbage",NA,477746,"221",3,288,0.767361111111111,NA,0,0.024390243902439,0.0187161246612466,0.0323788956639566
