"","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"15","Ignacio Piatti","MTL",9e+05,"1068",12,1152,0.927083333333333,"0.32",1,0.295454545454545,1.20099431818182,2.07772017045455
"2","Ambroise Oyongo","MTL",NA,"990",11,1056,0.9375,"0.04",0.454707939498552,0.727272727272727,1.10810687509807,1.91702489391967
"17","Laurent Ciman","MTL",1291666.67,"1080",12,1152,0.9375,"0.02",0.218054164475466,0.909090909090909,1.05669850646848,1.82808841619046
"6","Blerim Dzemaili","MTL",NA,"358",4,384,0.932291666666667,"0.29",0.716788002278755,0.386363636363636,1.02845907977598,1.77923420801244
"8","Chris Duvall","MTL",141750,"1139",13,1248,0.912660256410256,"0.06",0.325716700795105,0.75,0.981763879972456,1.69845151235235
"18","Marco Donadel","MTL",736650.67,"820",10,960,0.854166666666667,"0.02",0.364714093461889,0.681818181818182,0.89391298513506,1.54646946428365
"16","Kyle Fisher","MTL",106008,"686",9,864,0.793981481481482,"0.05",0.236563216852008,0.772727272727273,0.801357958161327,1.3863492676191
"23","Victor Cabrera","MTL",520000,"456",7,672,0.678571428571429,"0.01",0.142817671858297,1,0.775483420189559,1.34158631692794
"13","Hassoun Camara","MTL",510000,"557",8,768,0.725260416666667,"0.02",0.150183050391172,0.75,0.652867134202972,1.12946014217114
"14","Hernan Bernardello","MTL",576000,"854",12,1152,0.741319444444444,"0.02",0.283668102806637,0.590909090909091,0.648341079369124,1.12163006730858
"22","Patrice Bernier","MTL",330000,"906",13,1248,0.725961538461538,"0.04",0.450154296068396,0.409090909090909,0.623778971053149,1.07913761992195
"5","Ballou Jean-Yves Tabla","MTL",148999.8,"646",10,960,0.672916666666667,"0.15",0.490582087231983,0.204545454545455,0.467762908321067,0.809229831395447
"11","Dominic Oduro","MTL",660000,"866",12,1152,0.751736111111111,"0.25",0.453909912503451,0.136363636363636,0.443729942117099,0.767652799862581
"19","Matteo Mancosu","MTL",1419541.83,"719",10,960,0.748958333333333,"0.24",0.443779764995655,0.0909090909090909,0.400459674370325,0.692795236660662
"9","Daniel Lovitz","MTL",157500,"426",9,864,0.493055555555556,"0.07",0.19564536043381,0.613636363636364,0.399020850062377,0.690306070607913
"1","Adrian Arregui","MTL",530976.67,"239",6,576,0.414930555555556,"0",0.171782098517979,0.454545454545454,0.259882439552362,0.449596620425587
"4","Anthony Jackson-Hamel","MTL",132300,"313",9,864,0.362268518518519,"0.33",0.593260215300068,0,0.214919499292733,0.371810733776428
"7","Calum Mallace","MTL",246250,"237",5,480,0.49375,"0.05",0.140135052777691,0.227272727272727,0.181407591399894,0.313835133121817
"12","Evan Bush",NA,273500,"1260",14,1344,0.9375,NA,0.0394483344451915,0.136363636363636,0.164823722633276,0.285145040155568
"21","Nick DePuy","MTL",NA,"90",3,288,0.3125,"0.22",0.219873495045597,0.181818181818182,0.125528649019931,0.21716456280448
"24","Wandrille Lefevre",NA,199499.84,"13",2,192,0.0677083333333333,NA,0.00271433598810838,0.272727272727273,0.0186496922567706,0.0322639676042131
"3","Andres Romero",NA,240000,"19",1,96,0.197916666666667,NA,0.00157068721920791,0.0681818181818182,0.0138051833606197,0.0238829672138722
"10","David Choiniere",NA,108150,"5",1,96,0.0520833333333333,NA,0.00157068721920791,0.227272727272727,0.0119189278381216,0.0206197451599504
"20","Michael Salazar",NA,108150,"34",3,288,0.118055555555556,NA,0,0,0,0
