"","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"16","Lee Nguyen","NE",1e+06,"1074",14,1344,0.799107142857143,"0.47",1,0.227272727272727,0.980722402597403,1.69664975649351
"2","Antonio Mlinar Delamea","NE",NA,"1221",14,1344,0.908482142857143,"0.01",0.226712654470764,0.840909090909091,0.969915291003574,1.67795345343618
"15","Kelyn Rowe","NE",395000,"1130",14,1344,0.84077380952381,"0.08",0.402553682245495,0.659090909090909,0.892602967418256,1.54420313363358
"12","Joshua Smith","NE",106008,"467",5,480,0.972916666666667,"0.06",0.134319615139165,0.772727272727273,0.882481034653388,1.52669218995036
"8","Diego Fagundez","NE",340000,"1116",14,1344,0.830357142857143,"0.29",0.690052165750019,0.318181818181818,0.837194290229115,1.44834612209637
"3","Benjamin Angoua","NE",1254333.33,"652",8,768,0.848958333333333,"0.03",0.13676642051585,0.772727272727273,0.772122249992859,1.33577149248765
"13","Juan Agudelo","NE",977500,"848",12,1152,0.736111111111111,"0.3",0.618488316329809,0.409090909090909,0.75641248537914,1.30859359970591
"1","Andrew Farrell","NE",446200,"1107",13,1248,0.887019230769231,"0",0.168692410403093,0.681818181818182,0.754419251273198,1.30514530470263
"20","Xavier Kouassi","NE",1730541.75,"944",12,1152,0.819444444444444,"0.01",0.141082000842351,0.727272727272727,0.711568457760967,1.23101343192647
"14","Kei Kamara","NE",1600000,"861",12,1152,0.747395833333333,"0.38",0.667292506997362,0.25,0.685580597677716,1.18605443398245
"5","Chris Tierney","NE",288333.33,"750",12,1152,0.651041666666667,"0.12",0.345359944390521,0.431818181818182,0.505975342583791,0.875337342669958
"18","Scott Caldwell","NE",240000,"896",14,1344,0.666666666666667,"0.07",0.239745204636283,0.5,0.493163469757522,0.853172802680513
"10","Gershon Koffie","NE",NA,"127",3,288,0.440972222222222,"0.02",0.131408297631631,0.522727272727273,0.288455616095766,0.499028215845676
"11","Je-Vaughn Watson","NE",305666.67,"283",9,864,0.327546296296296,"0.03",0.158184787258151,0.25,0.133699415270899,0.231299988418655
"7","Daigo Kobayashi","NE",146992,"281",8,768,0.365885416666667,"0.09",0.155062221186286,0.204545454545455,0.131575204271639,0.227625103389936
"9","Femi Hollinger-Janzen","NE",108150,"135",7,672,0.200892857142857,"0.39",0.436427410804723,0.0454545454545455,0.0968066429985138,0.167475492387429
"19","Teal Bunbury","NE",475000,"154",9,864,0.178240740740741,"0.75",0.487436301069033,0,0.0868810073664712,0.150304142743995
"4","Brad Knighton",NA,201820.5,NA,1,96,NA,NA,0,0.113636363636364,NA,NA
"6","Cody Cropper",NA,131250,NA,13,1248,NA,NA,0.00910455733509425,0.0681818181818182,NA,NA
"17","London Woodberry",NA,138600,NA,1,96,NA,NA,0.0369416410624616,1,NA,NA
