"","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"14","Maximiliano Moralez","NYC",4000000.08,"1344",15,1440,0.933333333333333,"0.14",0.817152612037321,0.523809523809524,1.25156466012372,2.16520686201404
"18","Rodney Wallace","NYC",440000.16,"1082",13,1248,0.86698717948718,"0.47",0.797713684233773,0.642857142857143,1.24895643823107,2.16069463813974
"13","Maxime Chanot","NYC",733000,"1260",14,1344,0.9375,"0.07",0.308886081526526,0.976190476190476,1.20475927285969,2.08423354204726
"1","Alexander Callens","NYC",360000,"1350",15,1440,0.9375,"0.04",0.282875578244014,1,1.20269585460376,2.08066382846451
"4","Ben Sweat","NYC",130008,"625",7,672,0.930059523809524,"0.05",0.337431267181051,0.809523809523809,1.06673649247104,1.8454541319749
"5","David Villa","NYC",11220000,"1189",14,1344,0.884672619047619,"0.45",1,0.166666666666667,1.03211805555556,1.78556423611111
"2","Alexander Ring","NYC",716666.83,"1254",14,1344,0.933035714285714,"0.06",0.257905251032014,0.809523809523809,0.995949435965031,1.7229925242195
"19","Ronald Matarrita","NYC",375000,"561",7,672,0.834821428571429,"0.01",0.36449400556589,0.785714285714286,0.960218528881218,1.66117805496451
"6","Ethan White","NYC",130000,"1066",13,1248,0.854166666666667,"0.01",0.289657924270941,0.785714285714286,0.918547096029048,1.58908647613025
"8","Jack Harrison","NYC",295500,"1217",15,1440,0.845138888888889,"0.31",0.68499019273824,0.380952380952381,0.900869522348254,1.55850427366248
"3","Andrea Pirlo","NYC",11515690,"616",8,768,0.802083333333333,"0.03",0.289228194396594,0.428571428571428,0.575735114255602,0.996021747662191
"23","Yangel Herrera","NYC",247114.08,"241",5,480,0.502083333333333,"0.17",0.402877856588067,0.69047619047619,0.548954844463513,0.949691880921877
"16","Mikey Lopez","NYC",150000,"265",4,384,0.690104166666667,"0",0.14938801228884,0.452380952380952,0.41528326988931,0.718440056908507
"17","RJ Allen","NYC",201666.83,"252",5,480,0.525,"0",0.136678854083832,0.5,0.334256398394012,0.57826356922164
"7","Frederic Brillant","NYC",NA,"219",6,576,0.380208333333333,"0.05",0.122124319423998,0.642857142857143,0.290852326804809,0.503174525372319
"22","Thomas McNamara","NYC",370000.08,"453",12,1152,0.393229166666667,"0.28",0.393102726550399,0.30952380952381,0.276293247258348,0.477987317756941
"20","Sean Johnson",NA,440016,"1350",15,1440,0.9375,NA,0.0458182764767678,0.0952380952380952,0.132240348482684,0.228775802875043
"21","Sean Okoli","NYC",105999.84,"210",7,672,0.3125,"0.3",0.267482889111489,0.0714285714285714,0.105909831418769,0.18322400835447
"15","Miguel Camargo","NYC",208249.92,"176",8,768,0.229166666666667,"0.11",0.150947947526275,0.238095238095238,0.0891557300382635,0.154239412966196
"10","Jonathan Lewis","NYC",195500.08,"23",2,192,0.119791666666667,"0",0.279448033023315,0.166666666666667,0.0534408234003624,0.092452624482627
"11","Khiry Shelton",NA,203400,"62",4,384,0.161458333333333,NA,0.00664714690809835,0.119047619047619,0.0202944674199335,0.035109428636485
"9","John Stertzer","NYC",130000,"39",3,288,0.135416666666667,"0",0.0606941784057573,0,0.00821900332577963,0.0142188757535988
"12","Kwame Awuah",NA,106008,"1",1,96,0.0104166666666667,NA,0,0.142857142857143,0.00148809523809524,0.00257440476190476
