"","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"13","Kemar Lawrence","NYRB",305600,"1153",12,1152,1.00086805555556,"0.09",0.671022895493838,1,1.67247343620173,2.893379044629
"1","Aaron Long","NYRB",130000,"1333",14,1344,0.991815476190476,"0.06",0.181122156527389,1,1.17145523411533,2.02661755501953
"4","Bradley Wright-Phillips","NYRB",3135000,"1214",14,1344,0.90327380952381,"0.48",1,0.186046511627907,1.07132475083056,1.85339181893688
"20","Tyler Adams","NYRB",166041.67,"659",7,672,0.980654761904762,"0.05",0.242887065074039,0.837209302325581,1.05920164600647,1.8324188475912
"17","Sacha Kljestan","NYRB",1437500,"1162",13,1248,0.931089743589744,"0.06",0.755731841702193,0.348837209302326,1.02845291447696,1.77922354204515
"6","Damien Perrinelle","NYRB",350016,"907",11,1056,0.858901515151515,"0.04",0.243146200896229,0.930232558139535,1.00781679398242,1.74352305358959
"7","Daniel Royer","NYRB",9e+05,"1112",14,1344,0.827380952380952,"0.39",0.860233093328293,0.232558139534884,0.90415465099989,1.56418754622981
"3","Aurelien Collin","NYRB",9e+05,"349",5,480,0.727083333333333,"0.14",0.205053388170909,0.86046511627907,0.774720745943839,1.34026689048284
"18","Sal Zizzo","NYRB",220000,"761",10,960,0.792708333333333,"0",0.2861857997811,0.627906976744186,0.724608961391398,1.25357350320712
"12","Justin Bilyeu","NYRB",108150,"94",1,96,0.979166666666667,"0.02",0.230586288931436,0.418604651162791,0.635666128842264,1.09970240289712
"5","Connor Lade","NYRB",177812.5,"499",7,672,0.742559523809524,"0.02",0.150956922443385,0.674418604651163,0.612890458363362,1.06030049296862
"2","Alex Muyl","NYRB",135250,"765",13,1248,0.612980769230769,"0.35",0.517604014807799,0.348837209302326,0.531111808048273,0.918823427923513
"19","Sean Davis","NYRB",237500,"579",10,960,0.603125,"0.08",0.186343790792701,0.534883720930233,0.434990343007894,0.752533293403657
"10","Fredrik Gulbrandsen","NYRB",720000,"385",11,1056,0.364583333333333,"0.34",0.527175880662136,0.0465116279069768,0.209156904165822,0.361841444206873
"8","Derrick Etienne","NYRB",111000,"409",9,864,0.47337962962963,"0.16",0.22698037780938,0,0.107447887180597,0.185884844822434
"16","Mike Grella","NYRB",374250,"307",7,672,0.456845238095238,"0.08",0.125156629138097,0.0232558139534884,0.0678015179004712,0.117296625967815
"11","Gonzalo Veron","NYRB",1e+06,"125",4,384,0.325520833333333,"0.03",0.0256791676258303,0.0697674418604651,0.0310698598588201,0.0537508575557588
"9","Felipe 26, ",NA,NA,NA,14,1344,NA,NA,0.0752457164450859,0.674418604651163,NA,NA
"14","Luis Robles",NA,582500,NA,14,1344,NA,NA,0,0.116279069767442,NA,NA
"15","Michael Murillo",NA,138758,NA,3,288,NA,NA,0.0355508213404156,0.813953488372093,NA,NA
