"","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"4","Cyle Larin","ORL",342000,"1244",14,1344,0.925595238095238,"0.52",1,0.275,1.18013392857143,2.04163169642857
"20","Victor Pagliari Giro","ORL",NA,"180",2,192,0.9375,"0.04",0.326552426780765,0.925,1.17333040010697,2.02986159218505
"21","Will Johnson","ORL",864000,"1151",13,1248,0.922275641025641,"0.07",0.488854934374528,0.75,1.14256572873805,1.97663871071682
"16","Scott Sutter","ORL",480000,"1009",12,1152,0.875868055555556,"0.02",0.47056063550091,0.8,1.11284347328161,1.92521920877719
"9","Jonathan Spector","ORL",1161929.5,"1080",12,1152,0.9375,"0",0.151853123075428,1,1.07986230288321,1.86816178398796
"5","Donny Toia","ORL",141750,"1080",12,1152,0.9375,"0.02",0.241412609872158,0.9,1.07007432175515,1.85122857663641
"12","Leo Pereira",NA,NA,"180",2,192,0.9375,NA,0.0966840482090513,0.975,1.00470379519599,1.73813756568906
"10","Jose Aja","ORL",432000,"673",8,768,0.876302083333333,"0.01",0.161290442893886,0.875,0.908103474046335,1.57101901010016
"18","Tommy Redding",NA,227500,"587",7,672,0.873511904761905,NA,0.0484888172794614,0.825,0.763002880570006,1.31999498338611
"14","Matias Perez Garcia","ORL",NA,"785",12,1152,0.681423611111111,"0.06",0.333737748366031,0.525,0.585164177489005,1.01233402705598
"1","Antonio Nocerino","ORL",1650000,"847",12,1152,0.735243055555556,"0.03",0.155349957982702,0.625,0.573746887509851,0.992582115392042
"2","Carlos Rivas","ORL",750000,"1031",14,1344,0.767113095238095,"0.17",0.644474430648412,0.075,0.551918257439369,0.954818585370109
"17","Servando Carrasco","ORL",229992,"479",8,768,0.623697916666667,"0.07",0.256516607552891,0.525,0.487430279971139,0.84325438435007
"13","Luis Gil","ORL",288000,"470",11,1056,0.445075757575758,"0.11",0.246681872478906,0.55,0.354583787940422,0.61342995313693
"6","Giles Barnes","ORL",1506250,"755",14,1344,0.561755952380952,"0.25",0.326108372569457,0.3,0.351720105126444,0.608475781868747
"3","Cristian Higuita","ORL",3e+05,"710",14,1344,0.52827380952381,"0.04",0.229490871507,0.375,0.31933669551337,0.552452483238131
"8","Joe Bendik",NA,339083.4,"1260",14,1344,0.9375,NA,0.0313020489770636,0.15,0.169970670915997,0.294049260684675
"11","Kaka",NA,NA,"316",7,672,0.470238095238095,NA,0.033123401250859,0.05,0.0390877898739158,0.0676218764818744
"7","Hadji Barry","ORL",142062.5,"11",3,288,0.0381944444444444,"0.36",0.282429614165188,0.175,0.0174712699854759,0.0302252970748733
"19","Tony Rocha",NA,131241.6,"20",2,192,0.104166666666667,NA,0.00299569767328152,0.05,0.00552038517430016,0.00955026635153927
"15","Pierre Da Silva",NA,106008,"1",1,96,0.0104166666666667,NA,0,0,0,0
