"","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"17","Oguchi Onyewu","PHI",130008,"950",10,960,0.989583333333333,"0.11",0.18719385380609,0.888888888888889,1.06487354745857,1.84223123710333
"2","Alejandro Bedoya","PHI",2328250,"1233",13,1248,0.987980769230769,"0.15",0.251295434588526,0.755555555555556,0.994749415743311,1.72091648923593
"19","Richie Marquez","PHI",NA,"715",8,768,0.930989583333333,"0.06",0.153714715613314,0.844444444444444,0.929275780522523,1.60764710030396
"11","Haris Medunjanin","PHI",965016,"1233",13,1248,0.987980769230769,"0.04",0.452205108585724,0.466666666666667,0.907827643338299,1.57054182297526
"13","Jack Elliott","PHI",106008,"801",9,864,0.927083333333333,"0.04",0.121954016830436,0.822222222222222,0.875330054955069,1.51432099507227
"4","C.J. Sapong","PHI",NA,"1086",13,1248,0.870192307692308,"0.57",0.677832443951212,0.288888888888889,0.841233467519511,1.45533389880875
"15","Keegan Rosenberry","PHI",214812.5,"638",8,768,0.830729166666667,"0.01",0.104589976547818,0.888888888888889,0.825311869985181,1.42778953507436
"10","Giliano Wijnaldum","PHI",143341.33,"96",1,96,1,"0",0.161092215239874,0.533333333333333,0.694425548573208,1.20135619903165
"18","Raymon Gaddis","PHI",332500,"595",7,672,0.885416666666667,"0.02",0.114850350624138,0.666666666666667,0.6919681923929,1.19710497283972
"5","Chris Pontius","PHI",831000,"1038",13,1248,0.831730769230769,"0.11",0.481066396502948,0.266666666666667,0.621912595809343,1.07590879075016
"6","Derrick Jones","PHI",135900,"500",8,768,0.651041666666667,"0.03",0.0922911362184322,0.644444444444444,0.479645560327394,0.829786819366391
"9","Fabrice-Jean Picault","PHI",NA,"515",10,960,0.536458333333333,"0.37",0.303213319933521,0.222222222222222,0.281874275218967,0.487642496128812
"20","Roland Alberg","PHI",739250,"366",8,768,0.4765625,"0.43",0.311441387879616,0.2,0.24373378641138,0.421659450491687
"7","Fabian Herbers","PHI",245500,"433",12,1152,0.375868055555556,"0.18",0.292633837852032,0.266666666666667,0.210223193104685,0.363686124071105
"16","Marcus Epps","PHI",106008,"11",1,96,0.114583333333333,"0",1,0,0.114583333333333,0.198229166666667
"14","Jay Simpson","PHI",973333.33,"275",9,864,0.318287037037037,"0.18",0.201167635611957,0.0666666666666667,0.0852481864891452,0.147479362626221
"1","Adam Najem",NA,130000.08,NA,1,96,NA,NA,0.00293281518507417,0.177777777777778,NA,NA
"3","Andre Blake",NA,335000,NA,13,1248,NA,NA,0.00789976859551727,0.244444444444444,NA,NA
"8","Fabinho 32, ",NA,NA,NA,12,1152,NA,NA,0.0249200571170822,1,NA,NA
"12","Ilsinho 31, ",NA,NA,NA,9,864,NA,NA,0.0195129353998447,0.4,NA,NA
"21","Warren Creavalle",NA,263000,NA,3,288,NA,NA,0,0.155555555555556,NA,NA
