"","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"1","Alvas Powell","POR",238700,"1113",12,1152,0.966145833333333,"0.02",0.257263804065204,1,1.21470018569841,2.10143132125825
"18","Roy Miller","POR",3e+05,"859",9,864,0.994212962962963,"0.03",0.192519252639552,0.976190476190476,1.16194636234374,2.01016720685468
"7","David Guzman","POR",373341.33,"1019",12,1152,0.884548611111111,"0.11",0.507548032773839,0.761904761904762,1.12289270640408,1.94260438207905
"21","Vytautas Andriuskevicius","POR",466875,"668",7,672,0.994047619047619,"0.02",0.249912286194664,0.857142857142857,1.10046552938908,1.90380536584311
"9","Diego Valeri","POR",4835000,"1001",11,1056,0.947916666666667,"0.36",0.893807500183418,0.261904761904762,1.09551891510442,1.89524772313065
"17","Marco Farfan","POR",106000,"380",4,384,0.989583333333333,"0",0.145869468232864,0.952380952380952,1.08681031206576,1.88018183987376
"10","Fanendo Adi","POR",2926258,"1139",12,1152,0.988715277777778,"0.46",0.687772921280428,0.357142857142857,1.03312419411816,1.78730485582442
"16","Liam Ridgewell","POR",1230000,"668",7,672,0.994047619047619,"0.07",0.217678751208988,0.785714285714286,0.99742045932254,1.72553739462799
"8","Diego Chara","POR",1022000,"1075",12,1152,0.933159722222222,"0.08",0.257301841096447,0.738095238095238,0.928864461919324,1.60693551912043
"15","Lawrence Olum","POR",3e+05,"1076",12,1152,0.934027777777778,"0.04",0.19273780128646,0.761904761904762,0.891662671869579,1.54257642233437
"22","Zarek Valentin","POR",220000,"321",4,384,0.8359375,"0",0.226956690198664,0.785714285714286,0.846529643927231,1.46449628399411
"5","Darlington Nagbe","POR",1115000,"939",10,960,0.978125,"0.11",0.411915627827334,0.404761904761905,0.798812711563849,1.38194599100546
"19","Sebastian Blanco","POR",2075016,"1098",13,1248,0.879807692307692,"0.13",0.368675049326326,0.357142857142857,0.638580177326252,1.10474370677442
"20","Victor Arboleda","POR",130000.08,"30",1,96,0.3125,"1.33",1,0.214285714285714,0.379464285714286,0.656473214285714
"3","Ben Zemanski","POR",214000,"61",1,96,0.635416666666667,"0.04",0.139321809905551,0.238095238095238,0.239817082583834,0.414883552870034
"2","Amobi Okugo","POR",252945.5,"162",4,384,0.421875,"0",0.0666633781983836,0.452380952380952,0.218971826963157,0.378821260646262
"4","Dairon Asprilla","POR",276000,"396",9,864,0.458333333333333,"0.1",0.148077206142485,0.261904761904762,0.187908402021655,0.325081535497462
"6","Darren Mattocks","POR",616666.67,"326",10,960,0.339583333333333,"0.36",0.304204365629786,0.166666666666667,0.159899954717337,0.276626921660993
"11","Jack Barmby","POR",130008,"90",6,576,0.15625,"0.25",0.221543024077987,0,0.0346160975121854,0.0598858486960808
"12","Jake Gleeson",NA,225166.67,NA,10,960,NA,NA,0.0170470904485472,0.238095238095238,NA,NA
"13","Jeff Attinella",NA,205083.33,NA,3,288,NA,NA,0.0147710928834038,0.238095238095238,NA,NA
"14","Jeremy Ebobisse",NA,303000,NA,1,96,NA,NA,0,0,NA,NA
