"","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"8","David Horst","RSL",225008,"191",2,192,0.994791666666667,"0.05",0.154729469712241,1,1.14871525372416,1.98727738894279
"2","Albert Rusnak","RSL",1707812.5,"1128",13,1248,0.903846153846154,"0.11",1,0.183673469387755,1.06985871271586,1.85085557299843
"9","Demar Phillips","RSL",317841.33,"795",9,864,0.920138888888889,"0.01",0.256407783183311,0.897959183673469,1.06217793825363,1.83756783317879
"5","Chris Schuler","RSL",260000,"952",11,1056,0.901515151515151,"0.04",0.138545914347326,0.938775510204081,0.971221587284981,1.68021334600302
"7","Danilo Acosta","RSL",131250,"357",4,384,0.9296875,"0",0.228249353945168,0.816326530612245,0.97112914267447,1.68005341682683
"17","Luke Mulholland","RSL",345000,"947",13,1248,0.758814102564103,"0.13",0.529843956207546,0.693877551020408,0.928577137295571,1.60643844752134
"3","Brooks Lennon","RSL",106008,"764",8,768,0.994791666666667,"0.09",0.458571624086841,0.469387755102041,0.923126257422273,1.59700842534053
"6","Chris Wingert","RSL",279398,"1114",12,1152,0.967013888888889,"0.06",0.234608647626795,0.673469387755102,0.87812407240923,1.51915464526797
"1","Aaron Maund","RSL",339437.5,"562",8,768,0.731770833333333,"0.1",0.271909360983118,0.918367346938775,0.871009778453261,1.50684691672414
"15","Kyle Beckerman","RSL",1575000,"802",10,960,0.835416666666667,"0.03",0.308568121875412,0.63265306122449,0.786311863381376,1.36031952364978
"14","Justin Schmidt","RSL",106008,"619",9,864,0.716435185185185,"0.03",0.130739406816322,0.877551020408163,0.722374738949024,1.24970829838181
"11","Joao Plata","RSL",750000.08,"758",11,1056,0.71780303030303,"0.48",0.858533141651595,0.0816326530612244,0.674853856432118,1.16749717162757
"25","Tony Beltran","RSL",NA,"379",5,480,0.789583333333333,"0",0.194224250336072,0.63265306122449,0.652888543919693,1.12949718098107
"26","Yura Movsisyan","RSL",3723750,"968",15,1440,0.672222222222222,"0.41",0.848315713846267,0.0816326530612244,0.62513195775448,1.08147828691525
"10","Jefferson Savarino","RSL",NA,"243",5,480,0.50625,"0.14",0.807989632239346,0.0612244897959184,0.440039649280353,0.76126859325501
"23","Sebastian Saucedo","RSL",190500,"468",8,768,0.609375,"0.24",0.400579736395177,0.306122448979592,0.43064664421275,0.745018694488057
"12","Jordan Allen","RSL",356000,"112",2,192,0.583333333333333,"0.21",0.21391712516855,0.36734693877551,0.339070703967368,0.586592317863547
"4","Chad Barrett","RSL",204000,"79",3,288,0.274305555555556,"0.55",0.938833689668379,0,0.257527296818757,0.445522223496449
"16","Luis Silva","RSL",408674.67,"570",14,1344,0.424107142857143,"0.2",0.316610172366913,0.0816326530612244,0.168897626855683,0.292192894460332
"13","Jose Hernandez","RSL",109383,"142",5,480,0.295833333333333,"0.07",0.160931258610322,0.142857142857143,0.089870735434125,0.155476372301036
"20","Omar Holness","RSL",243500,"169",8,768,0.220052083333333,"0.13",0.182741933511256,0.163265306122449,0.0761396139298126,0.131721532098576
"22","Ricardo Velazco","RSL",131266.8,"222",6,576,0.385416666666667,"0.07",0.102771463573407,0.0816326530612244,0.0710724199529309,0.12295528651857
"18","Matt Van Oekel",NA,192000,NA,6,576,NA,NA,0,0.0612244897959184,NA,NA
"19","Nick Rimando",NA,920000,NA,10,960,NA,NA,0.00739869242326922,0,NA,NA
"21","Reagan Dunk",NA,106008,NA,2,192,NA,NA,0.0132416388523431,0.653061224489796,NA,NA
"24","Sunny 28, ",NA,NA,NA,11,1056,NA,NA,0.0465199460326183,0.612244897959184,NA,NA
