"","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"5","Cristian Roldan","SEA",252000,"1350",15,1440,0.9375,"0.08",0.56529785204953,0.818181818181818,1.29701219084189,2.24383109015647
"12","Nicolas Lodeiro","SEA",3114857.14,"1350",15,1440,0.9375,"0.18",0.996328226463761,0.386363636363636,1.29627362140069,2.24255336502319
"6","Gustav Svensson","MN",340000.08,"1282",15,1440,0.890277777777778,"0.06",0.378500198066919,1,1.22724809300124,2.12313920089215
"15","Osvaldo Alonso","SEA",2241667,"1247",14,1344,0.927827380952381,"0.07",0.425691467930114,0.886363636363636,1.21736065108207,2.10603392637199
"3","Chad Marshall","SEA",716250,"900",10,960,0.9375,"0.06",0.281997941586801,1,1.20187307023763,2.07924041151109
"9","Joevin Jones","SEA",186166.67,"1243",14,1344,0.92485119047619,"0.05",0.530732120248981,0.636363636363636,1.07938989990289,1.867344526832
"4","Clint Dempsey","SEA",7092933.5,"996",12,1152,0.864583333333333,"0.6",1,0.181818181818182,1.0217803030303,1.76767992424242
"19","Tony Alfaro",NA,108150,"550",7,672,0.818452380952381,NA,0.0455303525168068,0.931818181818182,0.799913234946791,1.38384989645795
"10","Jordan Morris","SEA",462500,"1085",13,1248,0.869391025641026,"0.31",0.599046980572926,0.136363636363636,0.639359390525777,1.10609174560959
"7","Harry Shipp","SEA",NA,"719",12,1152,0.624131944444444,"0.16",0.393854064449561,0.431818181818182,0.515328424536899,0.891518174448834
"11","Jordy Delem","SEA",106008,"500",10,960,0.520833333333333,"0",0.143450185749702,0.704545454545454,0.441664395987061,0.764079405057615
"20","Will Bruin","SEA",651666.67,"527",12,1152,0.457465277777778,"0.68",0.801050486608621,0.136363636363636,0.428834412158315,0.741883533033886
"16","Roman Torres","SEA",941812.5,"376",7,672,0.55952380952381,"0.09",0.149585503607899,0.568181818181818,0.401607906239485,0.694781677794308
"14","Oniel Fisher","SEA",131250,"387",7,672,0.575892857142857,"0.03",0.138036403232892,0.454545454545455,0.341263659166994,0.5903861303589
"2","Brad Evans","SEA",638501.25,"259",6,576,0.449652777777778,"0",0.108402695426419,0.477272727272727,0.263350580692845,0.455596504598622
"1","Aaron Kovar","SEA",132500,"36",1,96,0.375,"0.09",0.314934147392021,0.340909090909091,0.245941214362917,0.425478300847846
"17","Seyi Adekoya","SEA",106008,"77",2,192,0.401041666666667,"0.59",0.456486718220677,0,0.183070194286417,0.316711436115502
"21","Álvaro Fernandez",NA,NA,"492",10,960,0.5125,NA,0,0.318181818181818,0.163068181818182,0.282107954545454
"13","Nouhou Tolo","SEA",105999.84,"42",2,192,0.21875,"0",0.214687479856679,0.409090909090909,0.136451522582285,0.236061134067353
"18","Stefan Frei",NA,506250,"1350",15,1440,0.9375,NA,0.00498614361628955,0.136363636363636,0.132515418731181,0.229251674404942
"8","Henry Wingo","SEA",106008,"86",7,672,0.12797619047619,"0.03",0.402623539049486,0.159090909090909,0.0718860752084434,0.124362910110607
