"","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"9","Florian Jungwirth","SJ",966667.07,"1350",15,1440,0.9375,"0.09",0.465145188529821,0.916666666666667,1.29544861424671,2.2411261026468
"3","Chris Wondolowski","SJ",1600000,"1421",16,1536,0.925130208333333,"0.27",1,0.3125,1.2142333984375,2.10062377929688
"1","Andres Imperiale",NA,212500,"90",1,96,0.9375,NA,0.0598632909777738,1,0.993621835291663,1.71896577505458
"19","Victor Bernardez","SJ",491600,"1149",13,1248,0.920673076923077,"0.04",0.203384023208407,0.8125,0.935297069444278,1.6180639301386
"14","Nick Lima","SJ",166212.03,"1134",14,1344,0.84375,"0.07",0.289945177249016,0.75,0.877453743303857,1.51799497591567
"2","Anibal Godoy","SJ",486234,"1144",14,1344,0.851190476190476,"0.07",0.391672677081447,0.541666666666667,0.794449560452263,1.37439773958241
"15","Shaun Francis","SJ",238333.33,"691",8,768,0.899739583333333,"0.05",0.204969076479007,0.583333333333333,0.709266881745218,1.22703170541923
"11","Jahmir Hyka","SJ",990008,"1097",16,1536,0.714192708333333,"0.29",0.699517462541585,0.25,0.678138448182369,1.1731795153555
"4","Cordell Cato","SJ",275666.67,"856",11,1056,0.810606060606061,"0.05",0.24505524162099,0.520833333333333,0.620833920606914,1.07404268264996
"8","Fatai Alashe","SJ",212600,"889",12,1152,0.771701388888889,"0.05",0.167846380672645,0.604166666666667,0.595763540872091,1.03067092570872
"6","Darwin Ceren","SJ",449375,"879",12,1152,0.763020833333333,"0.06",0.205106197469962,0.5625,0.585699520465362,1.01326017040508
"13","Marco Urena","SJ",564424.67,"1076",15,1440,0.747222222222222,"0.23",0.546575793157154,0.0833333333333333,0.470682097294281,0.814280028319106
"12","Kofi Sarkodie","SJ",275000,"485",7,672,0.72172619047619,"0",0.130166169895815,0.458333333333333,0.424735504562704,0.734792422893477
"5","Danny Hoesen","SJ",928133,"797",16,1536,0.518880208333333,"0.4",0.568052803832254,0.25,0.424471409280147,0.734335538054655
"18","Tommy Thompson","SJ",305000,"562",14,1344,0.418154761904762,"0.17",0.490270660936877,0.270833333333333,0.318259259508823,0.550588518950264
"17","Simon Dawkins","SJ",1600000,"539",11,1056,0.510416666666667,"0.12",0.231349056454461,0.104166666666667,0.171252817009742,0.296267373426854
"7","David Bingham",NA,387750,"1440",16,1536,0.9375,NA,0.013574339979696,0.125,0.129913443730965,0.224750257654569
"16","Shea Salinas","SJ",370000,"169",8,768,0.220052083333333,"0.07",0.103354511037091,0.0833333333333333,0.0410810490867211,0.0710702149200275
"10","Jackson Yueill",NA,300984,"16",1,96,0.166666666666667,NA,0,0,0,0
