"","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"13","Matt Besler","SKC",1483250,"1350",15,1440,0.9375,"0.03",0.536902173794055,0.871794871794871,1.32065348023962,2.28473052081454
"8","Ike Opara","SKC",3e+05,"1170",13,1248,0.9375,"0.06",0.385534472025641,1,1.29893856752404,2.24716372181659
"1","Benny Feilhaber","SKC",1200000,"1083",13,1248,0.867788461538462,"0.13",0.949380257965205,0.538461538461538,1.29113194353378,2.23365826231345
"6","Graham Zusi","SKC",1482102.27,"1215",14,1344,0.904017857142857,"0.05",0.629205191029797,0.769230769230769,1.26421108014627,2.18708516865305
"4","Dominic Dwyer","SKC",NA,"1018",12,1152,0.883680555555556,"0.49",1,0.307692307692308,1.15558226495726,1.99915731837607
"5","Gerso Fernandes","SKC",1141266,"1324",15,1440,0.919444444444444,"0.26",0.887712246652553,0.358974358974359,1.14625907350697,1.98302819716705
"14","Roger Espinoza","SKC",1700000,"1240",14,1344,0.922619047619048,"0.05",0.441787322602127,0.769230769230769,1.1173083585363,1.93294346026781
"16","Seth Sinovic","SKC",257666.67,"1350",15,1440,0.9375,"0.02",0.422940633360712,0.692307692307692,1.04554530531413,1.80879337819344
"9","Ilie Sanchez","SKC",605000,"1350",15,1440,0.9375,"0.03",0.337634890356693,0.717948717948718,0.989609632786323,1.71202466472034
"10","Jimmy Medranda","SKC",260016,"1096",15,1440,0.761111111111111,"0.16",0.601606769112795,0.58974358974359,0.906749995351804,1.56867749195862
"11","Kevin Ellis","SKC",288341.33,"180",2,192,0.9375,"0.01",0.218202867345965,0.743589743589743,0.901680572752226,1.55990739086135
"12","Latif Blessing","SKC",139383,"358",8,768,0.466145833333333,"0.64",0.914070874127198,0.102564102564103,0.47390015840558,0.819847274041654
"15","Saad Abdul-Salaam","SKC",207350,"92",3,288,0.319444444444444,"0.69",0.889453428543812,0.333333333333333,0.390612437821866,0.675759517431828
"18","Soony Saad","SKC",130008,"327",9,864,0.378472222222222,"0.3",0.614638105245613,0.153846153846154,0.290849945281259,0.503170405336578
"7","Igor Juliao","SKC",215016,"46",1,96,0.479166666666667,"0.12",0.234302252426273,0.153846153846154,0.185987778005538,0.321758855949581
"19","Tim Melia","SKC",332500,"1350",15,1440,0.9375,"0",0.0878119863949293,0.102564102564103,0.178477583399092,0.30876621928043
"17","Soni Mustivar","SKC",4e+05,"186",11,1056,0.176136363636364,"0",0.244644760794433,0.41025641025641,0.115351910810092,0.199558805701459
"3","Daniel Salloi","SKC",106000,"58",7,672,0.0863095238095238,"0.55",0.640131936903664,0.0256410256410256,0.0574625473624881,0.0994102069371045
"2","Cameron Porter","SKC",182500,"21",1,96,0.21875,"0.23",0.215208253895579,0,0.047076805539658,0.0814428735836084
"20","Tyler Pasher",NA,106000,"46",1,96,0.479166666666667,NA,0,0,0,0
