"","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"14","Justin Morrow","TOR",436666.67,"1260",14,1344,0.9375,"0.14",0.387477141418818,0.840909090909091,1.15161209280741,1.99228892055683
"16","Michael Bradley","TOR",12500000,"1350",15,1440,0.9375,"0.01",0.334989960209731,0.795454545454545,1.05979172406026,1.83343968262425
"8","Eriq Zavaleta","TOR",236300,"1279",15,1440,0.888194444444444,"0.02",0.184739621094324,1,1.05227914956919,1.82044292875471
"13","Jozy Altidore","TOR",9750000,"1114",14,1344,0.828869047619048,"0.6",1,0.204545454545455,0.998410443722944,1.72725006764069
"17","Nick Hagglund","TOR",209641,"989",12,1152,0.858506944444444,"0.09",0.208226921518457,0.954545454545455,0.998248159659035,1.72696931621013
"7","Drew Moor","TOR",508500,"781",9,864,0.903935185185185,"0.04",0.17139613674342,0.909090909090909,0.976690257866448,1.68967414610895
"19","Sebastian Giovinco","TOR",12715555.67,"896",11,1056,0.848484848484849,"0.51",0.822990348861006,0.113636363636364,0.794713574240193,1.37485448343553
"20","Steven Beitashour","TOR",514000,"1147",13,1248,0.919070512820513,"0.01",0.201881892862375,0.545454545454545,0.686854883613388,1.18825894865116
"23","Victor Vazquez","TOR",1330000,"1032",15,1440,0.716666666666667,"0.18",0.738845810862962,0.181818181818182,0.65980919475482,1.14146990692584
"5","Chris Mavinga","TOR",565699.6,"645",10,960,0.671875,"0.02",0.159347551374716,0.75,0.610967886079887,1.0569744429182
"15","Marco Delgado","TOR",420000,"663",9,864,0.767361111111111,"0.03",0.190348860254958,0.590909090909091,0.599506969469634,1.03714705718247
"18","Raheem Edwards","TOR",106008,"747",13,1248,0.598557692307692,"0.11",0.373421110815567,0.477272727272727,0.509189340586503,0.88089755921465
"4","Benoit Cheyrou","TOR",130008,"345",7,672,0.513392857142857,"0.11",0.229540079618096,0.568181818181818,0.40954472431692,0.708512373068272
"22","Tsubasa Endoh",NA,108150,"85",1,96,0.885416666666667,NA,0.0381114693700513,0.318181818181818,0.315468015019884,0.5457596659844
"2","Armando Cooper","TOR",391333.33,"605",11,1056,0.572916666666667,"0.04",0.171662808450265,0.363636363636364,0.306681817341298,0.530559544000445
"9","Jason Hernandez",NA,130008,"136",2,192,0.708333333333333,NA,0.00725120493287585,0.386363636363636,0.27881051258503,0.482342186772101
"21","Tosaint Ricketts","TOR",373166.67,"545",12,1152,0.473090277777778,"0.36",0.407590427387319,0.113636363636364,0.246587327350614,0.426596076316562
"10","Jay Chapman","TOR",198500,"175",4,384,0.455729166666667,"0.08",0.18075232838168,0.295454545454545,0.217021361774322,0.375446955869576
"6","Clint Irwin",NA,411320.7,"310",4,384,0.807291666666667,NA,0,0.227272727272727,0.183475378787879,0.31741240530303
"1","Alexander Bono","TOR",NA,"1130",13,1248,0.905448717948718,"0",0.0530775870771817,0.136363636363636,0.171529312891125,0.296745711301647
"11","Jonathan Osorio","TOR",391999.63,"479",14,1344,0.35639880952381,"0.09",0.261808257610757,0.181818181818182,0.15810793488576,0.273526727352365
"12","Jordan Hamilton","TOR",151415,"65",4,384,0.169270833333333,"0.29",0.377520976870674,0.113636363636364,0.0831386123254099,0.143829799322959
"3","Ben Spencer","TOR",NA,"60",1,96,0.625,"0",0.126436246401079,0,0.0790226540006743,0.136709191421167
